Trade Date,MASI,DSI,FSI 
2020-01-22,29531.92,22949.91,4024.86
2020-01-21,29531.92,22949.91,4024.86
2020-01-20,29531.92,22949.91,4024.86
2020-01-17,29500.15,22921.24,4024.86
2020-01-16,29439.47,22866.49,4024.86
2020-01-14,30273.44,23618.91,4024.86
2020-01-13,30273.44,23618.91,4024.86
2020-01-10,30273.44,23618.91,4024.86
2020-01-09,30282.10,23626.73,4024.86
2020-01-08,30282.10,23626.73,4024.86
2020-01-07,30283.64,23628.12,4024.86
2020-01-06,30283.49,23627.98,4024.86
2020-01-03,30252.27,23599.81,4024.86
2020-01-02,30252.43,23599.95,4024.86
2019-12-31,30252.20,23599.75,4024.86
2019-12-30,30000.36,23372.53,4024.86
2019-12-27,29538.36,22955.71,4024.86
2019-12-24,29538.36,22955.71,4024.86
2019-12-23,29536.87,22954.37,4024.86
2019-12-20,29536.87,22954.37,4024.86
2019-12-19,29533.99,22951.77,4024.86
2019-12-18,29535.43,22953.07,4024.86
2019-12-17,29534.83,22952.53,4024.86
2019-12-16,29534.83,22952.53,4024.86
2019-12-13,29534.73,22952.44,4024.86
2019-12-12,29532.66,22950.57,4024.86
2019-12-11,29532.66,22950.57,4024.86
2019-12-10,29532.03,22950.01,4024.86
2019-12-09,29532.03,22950.01,4024.86
2019-12-06,29213.70,22662.80,4024.86
2019-12-05,29215.15,22664.10,4024.86
2019-12-04,29215.15,22664.10,4024.86
2019-12-03,29215.33,22664.27,4024.86
2019-12-02,29215.33,22664.27,4024.86
2019-11-29,29215.33,22664.27,4024.86
2019-11-28,29215.23,22664.18,4024.86
2019-11-27,29215.23,22664.18,4024.86
2019-11-26,29630.81,23039.12,4024.86
2019-11-25,29630.81,23039.12,4024.86
2019-11-22,29629.37,23037.82,4024.86
2019-11-21,29629.47,23037.91,4024.86
2019-11-20,30076.82,23441.52,4024.86
2019-11-19,30076.82,23441.52,4024.86
2019-11-18,30091.13,23454.43,4024.86
2019-11-15,30091.23,23454.52,4024.86
2019-11-13,30091.13,23454.43,4024.86
2019-11-12,30344.59,23455.73,4272.58
2019-11-11,30343.05,23454.34,4272.58
2019-11-08,30343.05,23454.34,4272.58
2019-11-07,30340.88,23452.38,4272.58
